Name,Email,DateOfJoining,PhoneNumber
juliryxo, invalid@email,10-24-2021,1234567890
juliryxo,juliryxo@ema-sofia.eu,24-10-2021,1234567890
juliryxo,juliryxo@ema-sofia.eu,10-24-2021,123456789000
juliryxo,juliryxo@ema-sofia.eu,1-24-2021,12345678
vebafa8830,vebafa8830@bongcs.com,12-10-2021,1234567890
vebafa8830,vebafa8830@bongcs.com,12-10-2021,1234567890

okqtomuqtmueymqysi,okqtomuqtmueymqysi@bvhrk.com,12-10-2021,1234567890
okqtomuqtmueymqysi,okqtomuqtmueymqysi@bvhrk.com,12-10-2021,1234567890
okqtomuqtmueymqysi,okqtomuqtmueymqysi@bvhrk.com,12-10-2021,1234567890
juliryxo,juliryxo@ema-sofia.eu,12-10-2021,1234567890
juliryxo,juliryxo@ema-sofia.eu,12-10-2021,1234567890

juliryxo,juliryxo@ema-sofia.eu,12-10-2021,1234567890
juliryxo,juliryxo@ema-sofia.eu,12-10-2021,1234567890
